,Lead Number,Lead Score
1561,643936,99
4112,620517,99
5577,607154,99
1982,640446,99
8819,582605,99
2659,634036,99
5159,610385,99
2907,631758,99
4508,616493,99
6651,598798,99
8286,586629,99
5490,607799,99
2001,640295,99
6754,598020,99
4233,619272,99
7789,590107,99
2403,636659,99
1436,645099,99
2145,639181,99
4909,612869,99
5175,610249,99
2933,631591,99
6461,600391,99
9016,581254,99
7113,594936,99
3716,624495,99
5964,604092,99
1368,645538,99
2067,639620,99
561,654469,99
4927,612731,99
6663,598753,99
2685,633912,99
4717,614573,99
7450,592422,99
2043,639967,99
494,655165,99
6884,596770,99
2978,631318,99
8057,588097,99
3817,623471,99
2946,631482,99
1444,645009,99
4081,620783,99
2653,634056,99
4123,620454,99
4253,619144,99
6529,599679,99
6906,596625,99
4187,619649,99
1249,646662,99
8452,585362,99
4168,619902,99
5562,607274,99
5525,607531,99
5666,606526,99
8099,587968,99
2943,631496,99
7320,593292,99
2578,634782,99
2399,636679,99
5812,605250,99
1490,644500,99
4382,617745,99
8115,587887,99
3060,630627,99
5559,607283,99
8495,584858,99
4360,617920,99
8801,582709,99
2132,639253,99
2835,632439,99
1991,640385,99
2568,634850,99
1883,641311,99
7005,595881,99
6193,602307,99
7288,593516,99
4799,613965,99
1089,648386,99
2134,639246,99
6094,603080,99
8687,583526,99
6175,602415,99
809,651930,99
8415,585616,99
1559,643938,99
3207,629364,99
2982,631282,99
7941,588899,99
3473,627119,99
4947,612578,99
5576,607159,99
448,655522,99
7469,592343,99
4940,612639,99
5639,606698,99
6269,601729,99
7105,594978,99
5362,608721,99
5633,606760,99
4525,616261,99
5443,608183,99
2055,639824,99
8062,588076,99
470,655352,99
1070,648639,99
5638,606702,99
4443,617035,99
2614,634466,99
8461,585303,99
2101,639415,99
2713,633673,99
5183,610159,99
7818,589845,99
3064,630597,99
1458,644885,99
5418,608330,99
4913,612836,99
7245,593872,99
5686,606393,99
4505,616514,99
5561,607279,99
2878,632067,99
833,651680,99
3522,626799,99
5937,604307,99
5263,609425,99
269,657590,99
8959,581650,99
5293,609185,99
4540,616130,99
5783,605341,99
9076,580775,99
7690,590830,99
3465,627173,98
8210,587247,98
8053,588107,98
7089,595178,98
9034,581130,98
1709,642801,98
2122,639311,98
2525,635449,98
3735,624353,98
5799,605291,98
5524,607532,98
7570,591602,98
2493,635783,98
3188,629483,98
5364,608709,98
2837,632433,98
3827,623398,98
4838,613624,98
5423,608305,98
551,654567,98
8375,585872,98
8499,584822,98
3268,628666,98
6601,599119,98
1585,643801,98
5050,611351,98
2391,636769,98
2560,634915,98
8220,587135,98
4963,612345,98
8509,584730,98
1563,643923,98
4865,613383,98
5647,606661,98
5723,606035,98
4556,616023,98
2962,631405,98
2519,635552,98
3839,623294,98
3500,626945,98
4997,611948,98
8596,584182,98
3291,628478,98
4155,620155,98
1475,644702,98
5042,611410,98
2025,640081,98
1569,643899,98
1564,643918,98
2783,632940,98
3486,627039,98
1026,649235,98
1278,646413,98
4573,615906,98
5818,605228,98
4569,615932,98
6737,598127,98
7472,592334,98
4241,619228,98
1254,646574,98
2014,640156,98
8681,583564,98
5932,604359,98
7128,594789,98
8071,588051,98
7490,592198,98
3475,627113,98
2894,631889,98
5304,609137,98
5714,606149,98
2676,633945,98
3932,622372,98
4378,617782,98
7253,593850,98
6741,598109,98
4125,620429,98
6913,596573,98
2709,633744,98
2696,633842,98
4896,613016,98
8072,588048,98
3976,621978,98
3307,628413,98
1595,643701,98
5210,609859,98
3921,622478,98
4658,615032,98
4049,621205,98
3028,630801,98
8028,588222,98
1714,642784,98
4653,615069,98
5346,608835,98
1566,643916,98
8293,586552,98
1481,644642,98
3325,628282,98
2727,633476,98
8347,586156,98
299,657247,98
5747,605693,98
3165,629651,98
3463,627186,98
3660,625185,98
3770,624042,98
5960,604134,98
9062,580887,98
2010,640205,98
5868,604908,98
9219,579778,98
4589,615769,98
452,655496,98
1214,647039,98
6379,600979,98
4250,619170,98
2153,639133,98
2259,637854,98
6154,602566,98
4555,616035,98
3270,628658,98
1897,641212,98
2791,632892,98
3731,624363,98
369,656516,98
5687,606387,98
5621,606860,98
2542,635314,98
64,659889,98
5915,604460,98
6701,598391,98
3937,622344,98
1859,641481,98
6931,596478,98
4847,613545,98
4144,620223,98
6124,602759,98
4869,613343,98
7885,589351,98
5651,606643,98
8886,582170,98
6170,602442,98
6230,601959,98
3893,622658,98
3022,630828,98
4157,620137,98
2984,631268,98
7840,589653,98
1767,642202,98
4442,617043,98
4338,618206,98
2481,635864,98
2376,636884,98
3042,630736,98
8085,588007,98
3031,630783,98
7265,593795,98
5451,608143,98
2342,637156,98
8865,582304,98
6119,602801,98
2118,639321,98
2714,633646,98
4213,619486,98
2273,637759,98
3187,629491,98
6684,598556,98
472,655349,98
4432,617188,98
1287,646337,98
7432,592530,98
5021,611651,98
2166,639020,98
392,656356,98
4050,621198,98
3132,629884,98
7268,593786,98
5376,608597,98
6450,600517,98
1860,641478,98
8054,588106,98
4789,614038,98
1823,641817,98
1716,642764,98
4061,621087,98
4942,612618,98
3484,627047,98
8623,583940,98
934,650389,98
8862,582313,98
1565,643917,98
5459,608107,98
4399,617576,98
901,650820,98
2368,636930,98
2797,632862,98
5167,610330,98
4238,619246,98
6277,601707,98
2748,633307,98
2592,634669,98
8745,583083,98
8901,582097,98
2384,636823,98
4816,613774,98
4438,617100,98
4843,613583,98
9233,579622,98
5353,608791,98
3822,623427,98
2534,635351,98
3477,627107,98
1574,643871,98
1573,643884,98
2729,633455,98
4732,614498,98
6758,597996,98
6705,598343,98
3518,626815,98
3290,628482,98
1470,644723,98
941,650311,98
1753,642307,98
3543,626523,98
4223,619391,98
7159,594584,98
6066,603289,98
2523,635473,98
3210,629355,98
2664,634018,98
2940,631526,98
3162,629658,98
2960,631408,98
1061,648813,98
2632,634228,98
1468,644750,98
9043,581058,98
1536,644080,98
1305,646199,98
3019,630841,98
2631,634237,98
4851,613533,98
2358,637039,98
5173,610273,98
1199,647212,98
6977,596069,98
5197,610041,98
8239,587028,98
7174,594456,98
2760,633140,98
4406,617520,98
7229,593990,98
5291,609192,98
3727,624423,98
2239,637980,98
3299,628444,98
3917,622505,98
5292,609191,98
943,650291,98
2114,639342,98
2575,634813,98
1110,648139,98
8079,588021,98
2346,637125,98
6126,602755,98
4646,615172,98
4407,617515,98
5195,610077,98
5390,608489,98
4375,617811,98
3725,624430,98
7117,594884,98
4671,614924,98
6728,598202,98
4200,619537,98
8761,582983,98
1928,641008,98
2483,635850,98
3575,626274,98
6305,601514,98
4858,613459,98
7347,593063,98
4453,616944,98
6810,597538,98
2131,639282,98
2547,635018,98
7631,591261,98
1292,646320,98
7306,593374,98
2451,636177,97
8650,583729,97
3168,629641,97
4208,619503,97
9054,580939,97
1973,640525,97
4337,618210,97
6330,601350,97
2018,640127,97
2090,639471,97
5979,603989,97
5975,604007,97
2976,631333,97
6157,602557,97
3555,626438,97
3515,626860,97
1528,644130,97
7750,590388,97
8521,584649,97
8591,584202,97
211,658264,97
356,656644,97
5120,610717,97
3739,624343,97
3665,625063,97
3407,627558,97
3847,623198,97
8104,587940,97
5698,606309,97
4445,617008,97
8107,587916,97
1157,647861,97
454,655457,97
7733,590549,97
4065,621026,97
7433,592525,97
1311,646086,97
4212,619487,97
5240,609576,97
3278,628578,97
7091,595167,97
2924,631647,97
3077,630428,97
4779,614087,97
4116,620501,97
6501,600013,97
1950,640751,97
2075,639583,97
4388,617703,97
2886,631993,97
5706,606187,97
5430,608261,97
2027,640071,97
4485,616626,97
6297,601563,97
3147,629767,97
4977,612160,97
6627,598950,97
2314,637360,97
2110,639373,97
6632,598914,97
7121,594854,97
5502,607690,97
9239,579533,97
1882,641312,97
4151,620179,97
7476,592314,97
5026,611589,97
5784,605335,97
3881,622822,97
5806,605266,97
2281,637662,97
4353,617975,97
5425,608290,97
5719,606086,97
760,652580,97
9162,580198,97
2994,631122,97
5461,608100,97
4878,613195,97
7805,589957,97
4531,616206,97
1840,641626,97
2061,639710,97
7334,593124,97
1379,645472,97
2184,638764,97
9075,580776,97
9031,581136,97
4968,612288,97
6554,599515,97
3494,626986,97
5700,606303,97
1265,646504,97
2504,635711,97
8330,586293,97
8397,585751,97
8261,586802,97
8620,583960,97
3840,623290,97
2158,639099,97
9115,580485,97
6879,596805,97
2427,636404,97
3123,629940,97
3923,622460,97
6010,603673,97
8617,583981,97
6665,598748,97
2109,639376,97
8790,582756,97
4537,616149,97
8229,587089,97
9229,579712,97
5492,607774,97
7289,593504,97
3845,623207,97
784,652250,97
112,659369,97
3166,629645,97
6996,595952,97
3685,624817,97
2660,634029,97
5061,611251,97
5644,606672,97
6816,597458,97
7236,593953,97
2955,631439,97
892,650918,97
2361,637010,97
4934,612680,97
7486,592209,97
2585,634728,97
2764,633120,97
8242,586987,97
8065,588070,97
8177,587404,97
4827,613684,97
2789,632896,97
6375,601026,97
5699,606306,97
5947,604214,97
4473,616732,97
1820,641829,97
4047,621213,97
8943,581789,97
8677,583580,97
426,655793,97
8408,585703,97
3209,629357,96
459,655423,96
3643,625499,96
2890,631919,96
4992,612006,96
7346,593069,96
1905,641138,96
1925,641037,96
5339,608893,96
5096,610976,96
3635,625600,96
8711,583404,96
6559,599482,96
3645,625433,96
4742,614343,96
7823,589789,96
9022,581207,96
3056,630654,96
6323,601380,96
5145,610485,96
1527,644137,96
249,657823,96
7817,589846,96
7009,595852,96
3679,624871,96
3330,628208,96
6774,597897,96
997,649470,96
3952,622204,96
5403,608412,96
7055,595564,96
8257,586828,96
8173,587418,96
6685,598532,96
3721,624439,96
7536,591797,96
4982,612085,96
6829,597323,96
8268,586757,96
2562,634902,96
1281,646388,96
2307,637409,96
7627,591313,96
4892,613042,96
7902,589223,96
4009,621514,96
7150,594646,96
7851,589558,96
6085,603156,96
2536,635332,96
2311,637379,96
6199,602259,96
2600,634627,96
5077,611144,96
7166,594523,96
4320,618401,96
5233,609620,96
8213,587225,96
6163,602484,96
1586,643795,96
5724,606028,96
2985,631267,96
8986,581456,96
948,650238,96
1307,646189,96
9202,579885,96
4252,619151,96
8393,585775,96
5913,604469,96
8631,583845,96
6570,599411,96
242,657905,96
2415,636515,96
3120,629956,96
6624,598962,96
7503,592031,96
6412,600768,96
5146,610473,96
9154,580264,96
7978,588682,96
4944,612603,96
4822,613707,96
2400,636677,96
7993,588589,96
5623,606850,96
889,650970,96
1594,643712,96
2060,639722,96
8474,585167,96
7302,593400,96
1022,649262,96
933,650398,96
3631,625676,96
5588,607104,96
6852,597171,96
6411,600775,96
4607,615607,96
5266,609397,96
4256,619119,96
884,651043,96
1396,645355,96
8096,587979,95
7412,592667,95
1447,644985,95
2853,632322,95
6,660673,95
1730,642522,95
4532,616185,95
4198,619550,95
6556,599501,95
161,658831,95
3244,628949,95
8515,584683,95
8950,581724,95
1788,642056,95
718,653048,95
8728,583233,95
1812,641905,95
663,653687,95
749,652698,95
4411,617432,95
8050,588124,95
6138,602684,95
2157,639104,95
5603,606982,95
2574,634817,95
1869,641414,95
2509,635654,95
6223,601994,95
967,649941,95
7537,591793,95
3777,623925,95
2009,640219,95
5826,605206,95
7126,594803,95
4259,619090,95
2245,637936,95
2590,634690,95
5632,606773,95
999,649451,95
1737,642456,95
3241,628982,95
3466,627161,95
785,652227,95
1710,642798,95
7706,590716,95
533,654894,95
2868,632196,95
4170,619894,95
1398,645350,95
1518,644197,95
3763,624114,95
8960,581644,95
1722,642628,95
8920,581947,95
1946,640799,95
5258,609451,95
2580,634776,95
5662,606559,95
195,658432,95
1000,649442,95
7658,591071,95
560,654471,95
7250,593860,95
3237,629053,95
7212,594083,95
1848,641576,95
8047,588132,95
4753,614222,95
7952,588850,95
9094,580662,95
5435,608246,95
1819,641850,95
319,657033,95
1456,644900,95
7653,591098,95
1997,640331,95
7849,589580,95
5720,606054,94
7501,592087,94
4737,614463,94
7202,594160,94
4131,620376,94
3044,630728,94
5043,611386,94
1186,647449,94
2249,637909,94
4943,612605,94
7753,590359,94
6470,600278,94
6092,603088,94
2605,634592,94
936,650338,94
6391,600919,94
2199,638488,94
7172,594482,94
9169,580143,94
3177,629582,94
3083,630390,94
3246,628929,94
3021,630835,94
37,660267,94
1700,642856,94
9049,581016,94
76,659727,94
1583,643810,94
596,654185,94
3942,622295,94
1086,648434,94
7784,590140,94
1395,645370,94
2333,637187,94
789,652174,94
2095,639455,94
5393,608481,94
6325,601378,94
6372,601039,94
7546,591722,94
6842,597245,94
4242,619225,94
7526,591837,94
8583,584274,94
8889,582154,94
2828,632608,94
3836,623340,94
556,654492,94
2589,634691,94
215,658231,94
142,659106,94
3249,628913,94
8348,586148,94
6452,600505,94
8899,582107,94
2952,631460,94
2692,633871,94
6709,598319,94
1454,644906,94
505,655122,94
5911,604499,94
12,660562,94
6711,598314,94
829,651722,94
5649,606653,94
6314,601447,94
6714,598302,93
8255,586836,93
7168,594506,93
7515,591960,93
2196,638518,93
8267,586758,93
5895,604698,93
4132,620372,93
2272,637766,93
6620,598991,93
6204,602214,93
6636,598891,93
661,653696,93
4795,613979,93
1439,645057,93
7929,588995,93
7406,592692,93
619,654027,93
8757,583002,93
4365,617871,93
1651,643219,93
2411,636562,93
7136,594744,93
1329,645875,93
2198,638503,93
1630,643292,93
2873,632155,93
3858,623114,93
854,651464,93
8871,582244,93
8019,588317,93
4374,617816,93
3722,624438,93
7953,588844,93
1534,644111,93
4528,616232,93
1951,640717,93
1761,642222,93
1926,641025,93
2794,632876,93
8475,585145,93
8582,584277,93
3119,629964,93
3005,631013,93
7495,592136,93
622,654018,93
8836,582488,93
5373,608619,93
3810,623548,93
4837,613633,93
9044,581051,93
2286,637638,93
610,654116,93
3535,626658,93
3671,624995,93
1957,640652,93
9186,579992,93
3194,629447,92
4008,621532,92
2630,634244,92
6645,598821,92
213,658243,92
846,651548,92
1577,643838,92
8068,588064,92
2380,636855,92
8402,585724,92
3762,624122,92
2770,633070,92
6699,598425,92
2343,637148,92
4444,617028,92
2734,633407,92
6528,599682,92
5330,608929,92
2543,635041,92
1803,641955,92
8891,582151,92
5049,611355,92
810,651926,92
7208,594108,92
2405,636635,92
4154,620157,92
4890,613070,92
99,659507,92
4194,619569,92
6767,597943,92
839,651623,92
9235,579564,92
7596,591460,92
2922,631653,92
6438,600612,92
6608,599075,92
493,655175,92
513,655075,92
8320,586349,92
4216,619437,92
650,653820,92
2019,640120,92
6149,602634,92
3563,626337,92
4002,621583,92
4149,620189,92
6127,602753,92
3710,624544,92
2439,636261,92
205,658309,92
335,656880,92
3212,629350,92
1783,642088,92
4700,614705,92
2339,637163,92
3652,625303,92
5646,606663,92
7966,588753,92
2115,639333,92
1406,645305,92
1352,645690,92
5579,607148,92
6638,598886,92
8776,582872,92
6017,603637,92
4880,613193,92
5141,610511,92
5688,606383,92
676,653580,92
2444,636208,92
662,653691,92
2243,637954,92
7326,593211,92
2533,635362,92
6229,601960,92
4387,617711,92
2359,637023,92
2559,634917,92
130,659191,92
6279,601680,92
5087,611072,92
6184,602380,92
3825,623408,92
808,651934,92
2221,638198,92
2514,635587,92
1978,640469,92
616,654061,92
1923,641053,92
4057,621121,92
7220,594037,92
9126,580422,92
3664,625120,92
4284,618841,92
6026,603586,92
4960,612428,92
6496,600072,92
8362,586016,92
5685,606404,92
2069,639603,92
6012,603669,92
2744,633335,92
1014,649339,92
2629,634254,92
4804,613917,92
4371,617842,92
2126,639298,92
6843,597234,92
6242,601880,92
5372,608628,92
2757,633154,92
5837,605123,92
348,656715,92
3176,629592,92
7125,594833,92
4359,617929,92
1266,646501,92
4181,619784,92
3875,622859,92
8966,581625,92
7682,590914,92
3582,626216,92
1332,645825,92
3182,629524,92
1299,646253,92
3072,630510,92
2013,640177,92
4481,616684,92
7989,588618,92
3227,629242,92
1683,642987,92
667,653650,92
6457,600414,92
2564,634878,92
754,652646,92
5575,607172,92
1300,646241,92
8816,582614,92
6567,599423,92
8366,585977,92
1051,648999,92
5729,605894,92
1234,646772,92
482,655270,92
7356,593016,92
5206,609897,92
3497,626970,92
8547,584481,92
4330,618310,92
3519,626813,92
8030,588209,92
4403,617554,92
6550,599550,92
2932,631597,92
5810,605254,92
6238,601912,92
2356,637048,92
841,651611,92
137,659141,92
6015,603647,92
1550,643986,92
9116,580465,91
1785,642070,91
2627,634271,91
4520,616349,91
8304,586443,91
2989,631226,91
4044,621241,91
4398,617610,91
5506,607673,91
939,650319,91
6466,600323,91
27,660424,91
4462,616820,91
2256,637866,91
9003,581351,91
5251,609489,91
3370,627833,91
4062,621078,91
6733,598165,91
6974,596128,91
8895,582133,91
1270,646453,91
5969,604073,91
1571,643891,91
3514,626872,91
6982,596035,91
7267,593789,91
3781,623851,91
4422,617313,91
5553,607341,91
3183,629520,91
163,658826,91
6560,599467,91
3524,626775,91
305,657183,91
2912,631712,91
5892,604717,91
6115,602826,91
3041,630740,91
8423,585535,91
4424,617272,91
8621,583957,91
6370,601052,91
2,660727,91
7492,592170,91
1423,645176,91
5409,608370,91
788,652178,91
1610,643508,91
4421,617346,91
7959,588806,91
5307,609128,91
5408,608371,91
3608,625894,91
2570,634847,91
2487,635822,91
3526,626738,91
3462,627187,91
4163,620028,91
8384,585824,91
4539,616143,91
4993,612000,91
5536,607476,91
1056,648956,91
6454,600437,91
5985,603938,91
5345,608842,91
8409,585697,91
1609,643517,91
1523,644173,91
6373,601038,91
4296,618650,91
7763,590302,91
2315,637345,91
3687,624762,91
2809,632786,91
5093,611029,91
6649,598810,91
1060,648834,91
3619,625793,91
1588,643789,91
4436,617123,91
7235,593961,91
8840,582448,91
8211,587243,91
5076,611150,91
4624,615461,91
6629,598933,91
7577,591549,91
6984,596017,91
7493,592165,91
8441,585403,91
7517,591933,91
6833,597298,91
407,656126,91
6021,603607,91
1931,640972,91
5180,610172,91
5044,611380,91
985,649619,91
5213,609838,91
5361,608727,91
6785,597819,91
7738,590521,91
2002,640278,91
8296,586542,91
3012,630918,91
8743,583104,91
6300,601552,91
2959,631411,91
1165,647711,91
9046,581045,91
8321,586345,91
4420,617354,91
2798,632851,91
2866,632210,91
6449,600528,91
9026,581165,91
404,656213,91
8262,586799,91
6475,600248,91
2756,633166,91
2917,631676,91
6435,600639,90
7132,594769,90
874,651246,90
4272,618983,90
1723,642612,90
1932,640969,90
1437,645089,90
1223,646863,90
8578,584298,90
3903,622608,90
835,651661,90
7883,589355,90
2188,638686,90
2498,635757,90
7021,595775,90
2064,639685,90
604,654170,90
4031,621319,90
7427,592589,90
8432,585443,90
1721,642635,90
1805,641940,90
6265,601768,90
8042,588158,90
3136,629871,90
9017,581253,90
4625,615453,90
7508,591990,90
1728,642543,90
1587,643788,90
2512,635613,90
7387,592785,90
5035,611498,90
3234,629083,90
1403,645324,90
6885,596759,90
177,658648,90
2538,635329,90
3435,627373,90
3651,625316,90
4670,614930,90
548,654576,90
8226,587103,90
741,652782,90
1306,646191,90
2360,637014,90
942,650305,90
3367,627871,90
3655,625275,90
5334,608908,90
1772,642165,90
3051,630695,90
9227,579728,90
1116,648081,90
4757,614206,90
8902,582094,90
8123,587808,90
9138,580373,90
6676,598617,90
564,654441,90
9155,580262,90
5757,605606,90
7636,591215,90
8445,585392,90
8574,584310,90
200,658398,90
4642,615227,90
1892,641250,89
5170,610294,89
949,650234,89
7329,593203,89
111,659371,89
1511,644247,89
725,652948,89
1193,647320,89
8539,584538,89
2305,637411,89
1090,648361,89
9068,580841,89
4863,613398,89
4245,619195,89
1335,645810,89
1766,642204,89
5349,608819,89
6534,599643,89
8704,583435,89
693,653415,89
1826,641743,89
7888,589334,89
3623,625738,89
3854,623138,89
2719,633595,89
9205,579870,89
4022,621386,89
8823,582579,89
2723,633531,89
8483,585023,89
1754,642303,89
4347,618062,89
370,656511,89
188,658546,89
8601,584098,89
759,652583,89
5976,603997,89
8602,584094,89
4415,617400,89
4088,620704,89
9203,579884,89
7565,591620,89
1647,643247,89
3964,622093,89
8061,588088,89
1553,643976,89
750,652695,89
2015,640149,89
4185,619676,89
6860,597116,89
3298,628453,89
6824,597366,89
502,655133,89
7574,591572,89
7070,595392,89
8228,587094,88
682,653525,88
1339,645790,88
4852,613525,88
405,656184,88
8504,584779,88
2935,631565,88
553,654525,88
8571,584327,88
8625,583924,88
3977,621976,88
8146,587586,88
7050,595602,88
3036,630765,88
1027,649223,88
7316,593309,88
9222,579764,88
6591,599196,88
3198,629414,88
4263,619054,88
3417,627526,88
1704,642834,88
4291,618747,88
172,658686,88
6760,597982,88
2785,632928,88
3001,631027,88
1598,643634,88
8271,586709,88
466,655375,88
3190,629468,88
3445,627315,88
7243,593891,88
768,652506,88
7539,591786,88
7967,588751,88
5391,608488,88
1979,640459,88
6582,599313,88
5854,605027,88
2897,631854,88
7199,594218,88
3310,628396,88
3332,628164,88
1676,643051,88
7897,589266,88
5131,610615,88
8537,584561,88
8492,584906,88
859,651417,88
7489,592201,88
6499,600019,88
851,651506,88
9158,580232,88
900,650847,88
10,660608,88
6336,601282,88
6473,600258,88
8540,584531,88
3615,625862,88
2316,637336,88
6002,603745,88
6702,598377,88
7769,590250,88
5858,604992,88
5158,610391,88
1581,643819,88
